,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,lat,long,sqft_living15,sqft_lot15,total_sqft,total_sqft_inside,age_when_sold
36,390000.0,3,1.5,1600,10440,1.0,1600,47.7109,-122.311,1600,8816,12040,1600.0,60
37,500000.0,4,2.75,2260,7209,1.0,1330,47.7088,-122.302,1790,10860,9469,2260.0,13
38,473000.0,3,2.75,1050,7200,1.0,1050,47.7163,-122.303,1860,9000,8250,1050.0,29
39,490000.0,3,1.75,1540,9000,1.0,1540,47.7152,-122.322,1710,7488,10540,1540.0,44
40,415000.0,3,1.0,1170,6700,1.0,1170,47.7122,-122.29,2410,7620,7870,1170.0,57
41,430000.0,2,1.0,1460,9207,1.0,1210,47.7195,-122.287,1500,6898,10667,1460.0,68
42,350000.0,4,1.0,1170,8147,1.5,1170,47.7281,-122.289,1260,8147,9317,1170.0,55
43,320000.0,3,1.0,1780,6840,2.0,1780,47.727,-122.3,1410,7200,8620,1780.0,67
44,505000.0,4,3.0,2280,7400,1.0,1340,47.71100000000001,-122.306,1540,7500,9680,1340.0,36
45,517000.0,4,1.0,1180,13500,1.5,1180,47.7165,-122.30799999999999,1580,8976,14680,1180.0,65
46,985000.0,5,3.5,3890,13261,2.0,2870,47.7246,-122.28399999999999,3080,13261,17151,3890.0,31
47,427500.0,3,1.0,1350,7085,1.0,1350,47.7318,-122.305,1350,7085,8435,1350.0,70
48,650000.0,3,2.0,2800,10501,1.0,1400,47.7055,-122.315,2260,6534,13301,2800.0,60
49,228000.0,2,1.0,1060,6100,1.0,1060,47.7317,-122.296,1550,9150,7160,1060.0,63
50,425000.0,2,1.0,1670,6212,1.0,1670,47.7152,-122.28200000000001,1670,7272,7882,1670.0,67
51,781000.0,3,1.75,1940,8729,1.0,1460,47.7027,-122.28200000000001,2250,9165,10669,1940.0,55
52,401000.0,4,1.75,3010,12523,1.0,1780,47.707,-122.316,2040,7560,15533,3010.0,63
53,349950.0,3,1.0,1400,7066,1.0,1400,47.7127,-122.325,1400,7320,8466,1400.0,57
54,700000.0,4,2.25,2440,9450,1.5,2440,47.7061,-122.307,1720,7503,11890,2440.0,67
55,637000.0,4,2.75,2850,7510,2.0,2850,47.7097,-122.305,1510,8833,10360,2850.0,6
56,357250.0,3,1.5,1400,8840,1.0,1400,47.7273,-122.309,1260,8840,10240,1400.0,62
57,310000.0,2,2.0,1030,2271,3.0,1030,47.7263,-122.314,1439,1387,3301,1030.0,16
58,310000.0,2,1.0,1560,4920,1.0,780,47.7248,-122.325,1760,7510,6480,1560.0,67
59,512500.0,4,1.75,1540,8311,1.0,1540,47.7046,-122.29299999999999,1890,7996,9851,1540.0,64
60,430000.0,3,2.5,1440,7320,1.0,1440,47.7179,-122.316,1160,6941,8760,1440.0,60
61,775000.0,4,2.75,2740,6200,1.5,1820,47.7084,-122.277,2430,6000,8940,2740.0,67
62,432000.0,3,2.0,1400,6380,1.0,700,47.7015,-122.316,1690,5800,7780,1400.0,91
63,425000.0,3,2.25,1670,9500,1.0,1170,47.7253,-122.309,1470,9500,11170,1670.0,37
64,458000.0,3,1.5,1470,9570,1.0,1280,47.7032,-122.306,1390,9570,11040,1470.0,74
65,282000.0,2,1.0,1150,6098,1.0,950,47.7259,-122.32799999999999,1790,8455,7248,1150.0,67
66,527000.0,6,3.5,3000,8401,1.0,1500,47.7226,-122.29899999999999,1400,8403,11401,3000.0,35
67,384400.0,3,3.25,1689,1388,3.0,1689,47.7174,-122.31700000000001,1459,1384,3077,1689.0,6
68,430000.0,3,2.0,1510,7066,1.0,1230,47.7053,-122.303,1950,8089,8576,1510.0,41
69,355000.0,3,1.0,1600,5001,1.5,1080,47.7232,-122.289,1340,5001,6601,1600.0,84
70,450000.0,4,1.5,1860,7808,1.0,1080,47.7314,-122.3,1530,7884,9668,1860.0,61
71,325000.0,2,1.0,1060,6050,1.0,940,47.7028,-122.321,1540,5279,7110,1060.0,76
72,407500.0,2,1.0,770,6017,1.0,770,47.7223,-122.321,1670,7500,6787,770.0,65
73,316750.0,3,2.5,1256,1154,3.0,1256,47.7146,-122.311,1309,1232,2410,1256.0,9
74,540000.0,5,1.5,1940,10202,1.5,1940,47.7213,-122.31,1900,8000,12142,1940.0,74
75,336000.0,3,2.0,1060,11765,1.0,1060,47.7333,-122.302,1500,9151,12825,1060.0,64
76,538000.0,4,2.5,3260,10032,1.0,1960,47.7203,-122.323,1802,7249,13292,3260.0,36
77,319000.0,2,1.0,750,6380,1.0,750,47.7033,-122.30799999999999,1690,6495,7130,750.0,65
78,375000.0,3,1.5,1240,7733,1.0,790,47.714,-122.28299999999999,1130,7733,8973,1240.0,73
79,175000.0,2,1.0,1160,6911,1.0,1160,47.7149,-122.318,1120,6948,8071,1160.0,68
80,419950.0,3,3.0,2150,3962,1.5,1540,47.7183,-122.285,1730,4609,6112,2150.0,66
81,446000.0,4,1.75,1730,5922,2.0,1730,47.7188,-122.321,1700,6127,7652,1730.0,65
82,469950.0,3,3.25,1760,1778,3.0,1760,47.7201,-122.301,1520,1615,3538,1760.0,6
83,267000.0,3,1.0,1400,8100,1.5,1400,47.7124,-122.289,1420,8100,9500,1400.0,70
84,500000.0,4,2.0,2330,7778,1.0,1230,47.7109,-122.323,1250,8160,10108,2330.0,53
85,390000.0,3,2.5,1640,6991,1.0,1110,47.7255,-122.32700000000001,1860,7342,8631,1640.0,48
86,368000.0,3,1.5,1560,7884,1.0,1060,47.7312,-122.29799999999999,1820,9000,9444,1560.0,45
87,294950.0,3,1.0,1240,8840,1.0,1240,47.7277,-122.30799999999999,1250,8840,10080,1240.0,62
88,404000.0,3,1.0,1420,8160,1.0,970,47.7164,-122.306,1340,8160,9580,1420.0,68
89,630000.0,4,1.75,1930,10210,1.5,1670,47.7078,-122.277,2730,6600,12140,1930.0,73
90,290000.0,2,1.0,1620,5400,1.0,920,47.7069,-122.29899999999999,1540,7245,7020,920.0,89
91,780000.0,3,2.75,2910,3094,2.0,2010,47.7071,-122.27600000000001,2400,7530,6004,2910.0,76
92,342000.0,3,1.0,1260,6826,1.0,720,47.731,-122.303,1300,6826,8086,1260.0,70
93,285000.0,3,1.0,1160,7875,1.0,1160,47.724,-122.323,1600,7875,9035,1160.0,61
94,422000.0,3,1.0,1160,7854,1.0,1160,47.7304,-122.30799999999999,1300,8317,9014,1160.0,55
95,489950.0,2,1.0,820,4206,1.0,820,47.7076,-122.28399999999999,1810,7200,5026,820.0,66
97,675000.0,4,1.75,2220,7230,1.0,1280,47.7065,-122.279,2210,7230,9450,2220.0,65
98,365000.0,2,1.0,910,7617,1.0,910,47.7332,-122.305,1310,6624,8527,910.0,79
100,300000.0,3,1.0,1490,7200,1.0,1490,47.7276,-122.307,1280,7200,8690,1490.0,61
101,399950.0,3,1.75,1560,5223,1.0,810,47.7175,-122.288,1440,8491,6783,1560.0,74
103,375000.0,4,1.5,1430,7232,1.5,1430,47.7197,-122.32799999999999,1540,7232,8662,1430.0,66
104,470000.0,3,1.0,1460,8227,1.0,880,47.7009,-122.301,1530,8128,9687,1460.0,67
105,362000.0,4,2.5,2360,7370,1.0,1460,47.7201,-122.30799999999999,1590,9906,9730,2360.0,30
106,460000.0,3,2.0,1860,7232,1.0,1320,47.7165,-122.319,1830,7220,9092,1860.0,29
107,425000.0,3,1.75,2120,5992,1.0,1060,47.7083,-122.30799999999999,1840,11000,8112,2120.0,68
108,369950.0,3,1.75,1640,4860,1.0,1200,47.7125,-122.32,1480,7200,6500,1640.0,49
109,385000.0,3,1.75,1560,5950,1.0,780,47.718999999999994,-122.307,1320,7830,7510,1560.0,71
110,466750.0,4,2.0,1730,9139,2.0,1730,47.7181,-122.316,1410,7311,10869,1730.0,58
111,350000.0,3,1.0,1370,8162,1.5,1370,47.7263,-122.289,1560,8250,9532,1370.0,65
112,378500.0,2,1.0,880,6171,1.0,880,47.7262,-122.285,2260,12769,7051,880.0,65
113,360000.0,4,1.5,1720,6417,1.0,1720,47.7268,-122.311,1430,6240,8137,1720.0,61
114,482500.0,3,2.0,1330,6490,1.0,1330,47.7181,-122.30799999999999,1580,7202,7820,1330.0,61
115,467500.0,3,1.75,2260,8512,1.0,1130,47.7129,-122.304,2240,8040,10772,2260.0,66
116,500000.0,4,4.5,2690,7350,1.5,2690,47.7062,-122.311,1660,9000,10040,2690.0,65
117,630000.0,4,2.25,2900,9680,2.0,1990,47.7037,-122.30799999999999,1850,7540,12580,2900.0,67
118,445500.0,3,1.75,1880,9360,1.0,940,47.7131,-122.28299999999999,1390,7200,11240,1880.0,73
119,575000.0,3,1.0,1740,9163,1.0,1740,47.705,-122.29899999999999,1490,6509,10903,1740.0,61
120,597000.0,4,2.5,2340,7877,2.0,2340,47.73,-122.315,1920,9116,10217,2340.0,10
121,614905.0,3,2.5,2410,7225,2.0,2410,47.7211,-122.31,1940,8347,9635,2410.0,24
122,403250.0,2,1.5,1430,8137,1.0,1130,47.7307,-122.29,1430,8137,9567,1430.0,80
123,563000.0,3,1.5,1730,9509,2.0,1270,47.7067,-122.28200000000001,1810,8795,11239,1730.0,60
124,270000.0,3,1.5,1500,6337,1.0,1500,47.7276,-122.31200000000001,1420,6337,7837,1500.0,61
125,445800.0,3,2.0,1320,6500,1.0,1320,47.7119,-122.319,1110,6592,7820,1320.0,67
126,376500.0,3,2.0,1630,7800,1.0,1630,47.7326,-122.307,1470,7800,9430,1630.0,64
127,458000.0,2,1.75,990,5850,1.0,990,47.7132,-122.321,840,6110,6840,990.0,72
128,400000.0,4,2.75,1240,3867,1.0,800,47.7157,-122.28399999999999,1150,7733,5107,1240.0,27
130,463000.0,3,2.0,1590,5009,2.0,1590,47.7012,-122.322,1730,6380,6599,1590.0,30
131,495000.0,4,1.75,1600,6380,1.0,1130,47.701,-122.306,1090,6380,7980,1600.0,55
132,420000.0,3,1.75,1770,6000,1.0,1130,47.7135,-122.315,1900,7200,7770,1770.0,62
133,399000.0,3,1.0,1460,8290,1.0,1460,47.7246,-122.3,1470,8290,9750,1460.0,55
134,357500.0,3,1.0,1450,8100,1.0,1450,47.7027,-122.289,1450,7800,9550,1450.0,63
135,525000.0,3,2.0,1540,7800,1.0,1540,47.7041,-122.288,1510,7800,9340,1540.0,10
136,442500.0,4,2.0,1540,5920,1.5,1540,47.7148,-122.301,1630,6216,7460,1540.0,79
137,688000.0,5,1.75,2250,13526,1.0,1350,47.7108,-122.279,2580,10078,15776,1350.0,58
138,480000.0,3,2.0,1470,10052,1.0,1470,47.726000000000006,-122.316,1480,9780,11522,1470.0,58
139,375000.0,3,1.0,1000,6947,1.0,1000,47.7142,-122.319,1000,6947,7947,1000.0,67
140,296000.0,2,2.0,1320,2040,3.0,1320,47.7224,-122.291,1430,2040,3360,1320.0,17
141,431750.0,2,2.0,1400,10052,1.0,1400,47.7262,-122.316,1400,8785,11452,1400.0,57
142,362500.0,3,1.0,1520,9507,1.0,1520,47.7162,-122.324,1360,7219,11027,1520.0,61
143,435000.0,3,2.25,1890,7200,1.0,1230,47.7156,-122.31700000000001,1970,8101,9090,1890.0,41
144,445000.0,3,1.75,1410,5100,1.0,1110,47.7026,-122.29,1600,7800,6510,1410.0,60
145,330000.0,3,1.75,1430,8865,1.0,1430,47.7331,-122.29899999999999,1250,8154,10295,1430.0,64
146,350000.0,1,1.0,900,6380,1.0,900,47.7019,-122.311,1830,6380,7280,900.0,67
147,281000.0,3,1.5,1280,974,3.0,1280,47.7162,-122.29299999999999,1420,1422,2254,1280.0,11
148,635000.0,4,2.5,2080,11176,1.0,2080,47.7107,-122.289,1390,7928,13256,2080.0,61
149,699950.0,4,2.0,2070,7830,1.0,1180,47.7058,-122.27799999999999,2390,7830,9900,2070.0,73
150,460000.0,2,2.5,1830,8107,1.0,930,47.701,-122.305,1260,6960,9937,1830.0,68
151,410000.0,4,2.0,1490,13736,1.0,1490,47.711999999999996,-122.281,2040,7200,15226,1490.0,73
152,455000.0,2,1.0,910,5759,1.0,910,47.7153,-122.28399999999999,1520,7518,6669,910.0,64
153,436000.0,2,1.0,1240,8100,1.5,1240,47.7326,-122.288,2790,8100,9340,1240.0,89
157,440000.0,3,1.75,2240,8153,1.0,1120,47.7303,-122.329,1710,8100,10393,2240.0,66
158,440000.0,3,2.25,1880,7989,1.0,1280,47.7077,-122.29899999999999,1820,7414,9869,1880.0,32
159,467500.0,3,1.0,1830,6453,1.0,1830,47.7139,-122.288,1670,8012,8283,1830.0,59
160,371000.0,3,1.0,890,7200,1.0,890,47.71,-122.286,1630,7455,8090,890.0,63
161,385000.0,3,1.75,1890,9920,1.0,1230,47.7327,-122.306,1380,9086,11810,1890.0,70
162,327000.0,2,1.0,1140,7435,1.0,1140,47.73,-122.31,1320,9385,8575,1140.0,63
163,390000.0,2,1.0,1140,8147,1.0,1140,47.7278,-122.289,1260,8148,9287,1140.0,57
164,423500.0,3,2.25,1890,7498,1.0,1190,47.73,-122.29700000000001,1660,8100,9388,1890.0,27
165,435000.0,4,2.75,2160,8148,1.0,1410,47.7261,-122.306,2060,8100,10308,2160.0,36
166,435000.0,4,2.75,2230,9640,1.0,1320,47.7269,-122.325,2100,9600,11870,2230.0,16
167,453000.0,3,1.75,1550,7200,1.0,1100,47.7071,-122.314,1560,7440,8750,1550.0,66
168,396500.0,3,1.75,2390,7149,1.0,1350,47.7244,-122.32600000000001,1710,7402,9539,2390.0,59
169,574500.0,4,1.5,1430,6380,1.5,1430,47.7014,-122.31299999999999,1220,5112,7810,1430.0,84
170,415000.0,3,1.0,1630,8146,1.0,1630,47.7293,-122.29,1480,8146,9776,1630.0,62
171,357000.0,3,1.0,1370,6450,1.0,1370,47.7195,-122.288,1550,6898,7820,1370.0,66
172,649950.0,6,2.0,1900,8240,1.0,1200,47.7037,-122.296,1900,8240,10140,1900.0,51
173,453500.0,3,1.75,1550,7270,1.5,1550,47.72,-122.31700000000001,1050,7210,8820,1550.0,61
175,390000.0,3,2.0,1080,7236,1.0,1080,47.7143,-122.32,1120,8008,8316,1080.0,67
176,380000.0,4,1.75,2030,12518,1.0,1610,47.7278,-122.29700000000001,1650,7872,14548,2030.0,64
177,324500.0,2,1.0,1300,6617,1.0,1300,47.7238,-122.302,1820,7800,7917,1300.0,29
178,565000.0,3,2.25,2560,8040,1.0,1510,47.7124,-122.303,1980,8040,10600,2560.0,56
179,401000.0,3,3.25,1770,1977,3.0,1770,47.7186,-122.314,1860,2210,3747,1770.0,13
180,500000.0,3,1.75,1800,7199,1.0,1300,47.7264,-122.307,1800,8100,8999,1800.0,42
181,369500.0,3,1.5,1650,9957,1.0,1100,47.7303,-122.29799999999999,1650,7957,11607,1650.0,53
182,460000.0,2,1.0,1430,12092,1.0,1430,47.7023,-122.27600000000001,2320,10800,13522,1430.0,76
183,410000.0,3,1.0,1330,5000,1.0,1120,47.7211,-122.30799999999999,1920,7790,6330,1330.0,58
184,325000.0,2,1.5,940,1222,2.0,860,47.7178,-122.318,1302,1840,2162,940.0,11
185,433000.0,4,1.0,1710,7000,1.5,1710,47.7037,-122.29299999999999,2030,7938,8710,1710.0,64
187,442500.0,3,1.0,1120,8200,1.0,1120,47.7254,-122.29,1820,7205,9320,1120.0,77
189,527000.0,3,2.25,2240,6450,1.0,1440,47.7034,-122.315,1390,6450,8690,2240.0,35
190,465000.0,4,1.75,1470,5350,1.0,980,47.7048,-122.315,1970,6138,6820,1470.0,59
191,477000.0,4,1.5,1380,7800,1.0,1080,47.7093,-122.306,1770,7503,9180,1380.0,86
192,674000.0,3,3.25,2320,6744,2.0,1930,47.7132,-122.29299999999999,1700,6744,9064,2320.0,1
193,450000.0,3,1.0,2020,8100,1.0,1170,47.7136,-122.288,1480,7620,10120,2020.0,58
194,522500.0,4,3.0,2370,8154,1.0,1380,47.7258,-122.306,2100,8148,10524,2370.0,38
195,600000.0,5,2.25,2980,7781,1.0,1580,47.7048,-122.279,2310,7781,10761,2980.0,54
196,498000.0,3,3.0,2360,2750,2.0,1780,47.7142,-122.281,1970,5800,5110,2360.0,31
197,285000.0,2,1.0,890,7250,1.0,890,47.7118,-122.314,900,7000,8140,890.0,72
198,451000.0,4,1.5,1620,5444,1.5,1620,47.7065,-122.29700000000001,1620,6912,7064,1620.0,59
199,500000.0,2,1.5,1520,8040,1.0,1520,47.7131,-122.306,1440,8040,9560,1520.0,63
200,458000.0,3,1.0,1660,7500,1.0,1060,47.7105,-122.306,1450,7500,9160,1660.0,74
201,328500.0,3,2.25,1390,1407,3.0,1390,47.7227,-122.296,1390,1628,2797,1390.0,11
202,429950.0,3,1.5,2010,9480,1.0,1570,47.7102,-122.281,1920,8791,11490,2010.0,63
203,495000.0,4,1.5,1810,7998,1.0,1210,47.726000000000006,-122.29700000000001,1830,7763,9808,1810.0,55
204,350000.0,2,1.5,1150,7552,1.0,1150,47.7298,-122.286,1910,8145,8702,1150.0,71
205,590000.0,4,2.75,2160,4205,1.0,1080,47.7081,-122.27600000000001,2450,6014,6365,2160.0,45
206,438750.0,3,1.75,1610,6480,1.0,1610,47.7137,-122.307,1230,8040,8090,1610.0,67
207,275000.0,3,1.0,1250,7654,1.0,1000,47.7289,-122.291,1310,7350,8904,1250.0,62
208,380000.0,3,1.0,1380,5400,1.0,1380,47.7134,-122.288,1190,6075,6780,1380.0,60
209,378000.0,3,1.5,1000,6914,1.0,1000,47.7144,-122.319,1000,6947,7914,1000.0,67
210,385000.0,3,1.75,1340,3850,1.0,1340,47.7134,-122.292,1540,7645,5190,1340.0,55
211,257500.0,2,2.0,1180,9265,1.0,1180,47.7252,-122.29700000000001,460,18000,10445,1180.0,74
212,306888.0,4,1.5,1940,8970,1.5,1270,47.7297,-122.32600000000001,1960,8470,10910,1940.0,35
213,775000.0,5,2.0,3540,9970,2.0,3540,47.7108,-122.277,2280,7195,13510,3540.0,44
214,687500.0,3,1.75,2450,9377,1.0,1540,47.7296,-122.28399999999999,2520,9725,11827,2450.0,52
215,490000.0,4,2.0,1650,6480,2.0,1650,47.7117,-122.286,1650,6350,8130,1650.0,68
216,650000.0,4,2.5,2580,9450,1.0,1660,47.703,-122.28,2060,9450,12030,2580.0,55
217,237000.0,3,1.0,920,5546,1.0,920,47.7114,-122.28399999999999,1300,5546,6466,920.0,87
218,595000.0,3,2.5,2250,8300,2.0,2250,47.7174,-122.30799999999999,1790,7626,10550,2250.0,12
219,585000.0,5,2.5,2670,16777,1.5,1620,47.7015,-122.301,1610,8227,19447,2670.0,94
220,456200.0,2,1.75,1210,7733,1.0,1210,47.7148,-122.28200000000001,1670,7733,8943,1210.0,111
221,850000.0,3,3.5,3070,7050,1.0,1570,47.7076,-122.27600000000001,2350,5881,10120,3070.0,87
222,325000.0,2,1.0,620,14823,1.0,620,47.7322,-122.3,1400,7930,15443,620.0,89
223,518000.0,4,1.75,1780,8768,1.0,1050,47.7085,-122.28299999999999,1590,8100,10548,1780.0,63
224,335500.0,3,1.0,1370,6780,2.0,1370,47.7156,-122.291,1450,7214,8150,1370.0,84
226,500000.0,2,1.0,1630,12059,1.0,1270,47.7228,-122.314,1660,8800,13689,1630.0,68
227,495000.0,3,1.75,1890,6557,1.0,1890,47.7032,-122.286,1920,6793,8447,1890.0,47
228,324950.0,3,1.0,1040,7288,1.0,1040,47.7287,-122.311,1160,7287,8328,1040.0,55
229,337000.0,3,1.0,1070,6109,1.0,1070,47.7207,-122.32,1170,7200,7179,1070.0,63
230,315275.0,3,1.75,1440,8040,1.0,960,47.7128,-122.306,1500,8040,9480,1440.0,63
231,490000.0,3,2.5,1930,7266,2.0,1930,47.7191,-122.309,1930,7266,9196,1930.0,9
232,324950.0,2,1.5,1230,1516,3.0,1230,47.7265,-122.314,1352,1411,2746,1230.0,15
233,699000.0,4,2.5,2650,7945,2.0,2650,47.7113,-122.296,1200,7920,10595,2650.0,8
234,395000.0,4,2.0,2240,7085,1.5,2240,47.7309,-122.305,1440,7085,9325,2240.0,70
235,325000.0,3,2.25,1352,1694,3.0,1352,47.7265,-122.315,1439,1387,3046,1352.0,7
236,568000.0,3,1.0,1340,7260,1.5,1340,47.7016,-122.295,1830,6822,8600,1340.0,62
237,342000.0,2,2.0,1320,1462,3.0,1320,47.7223,-122.29,1430,1650,2782,1320.0,18
238,432500.0,3,2.5,1340,8867,2.0,1340,47.724,-122.32700000000001,1630,7287,10207,1340.0,30
239,580000.0,3,1.75,1950,10633,1.0,1250,47.7019,-122.31299999999999,1290,6380,12583,1950.0,37
240,427000.0,4,2.5,1600,14000,1.0,1310,47.7258,-122.32600000000001,1600,10200,15600,1600.0,64
241,395000.0,3,1.0,950,6951,1.0,950,47.7263,-122.3,1410,7200,7901,950.0,65
242,607500.0,4,2.5,3000,8100,2.0,3000,47.7151,-122.305,1550,8100,11100,3000.0,22
243,386500.0,3,2.25,2950,8036,1.5,1950,47.7239,-122.31299999999999,2060,7200,10986,2950.0,51
244,348000.0,2,1.0,670,7312,1.0,670,47.7145,-122.285,860,8242,7982,670.0,72
245,600000.0,4,2.5,2070,8127,1.5,1590,47.7316,-122.289,2050,8131,10197,2070.0,90
246,599950.0,5,3.0,2600,13674,1.0,1300,47.7176,-122.302,2150,7800,16274,2600.0,47
247,425000.0,3,1.5,1190,8100,1.0,830,47.7146,-122.311,1256,8100,9290,1190.0,68
249,522000.0,3,1.0,1150,7080,1.0,1150,47.7106,-122.288,1490,7921,8230,1150.0,62
250,547000.0,3,2.5,1480,8381,1.0,1480,47.7078,-122.288,1710,8050,9861,1480.0,46
251,354950.0,3,1.0,970,5922,1.5,970,47.718999999999994,-122.321,1730,6128,6892,970.0,66
252,380950.0,2,1.0,1430,7819,1.0,1110,47.7307,-122.302,1380,7473,9249,1430.0,70
253,622100.0,4,2.5,2280,14290,1.5,1510,47.7054,-122.29700000000001,2140,9890,16570,2280.0,72
254,500000.0,3,2.25,1700,9008,1.0,1340,47.7161,-122.31700000000001,2340,8003,10708,1700.0,30
255,495500.0,3,1.75,2130,6360,1.0,1720,47.7059,-122.301,1540,6361,8490,2130.0,55
256,310000.0,3,2.0,1290,886,3.0,1290,47.7161,-122.295,1270,1152,2176,1290.0,11
257,635000.0,4,2.5,2970,7961,1.0,2020,47.7118,-122.29,1410,7959,10931,2970.0,46
258,220000.0,2,1.0,1060,10423,1.5,1060,47.705,-122.31299999999999,2240,10200,11483,1060.0,50
259,457000.0,2,1.75,2060,7192,1.0,1420,47.7038,-122.31700000000001,1860,7140,9252,2060.0,74
260,364500.0,3,1.0,1060,9506,1.0,1060,47.7317,-122.31,1520,8469,10566,1060.0,55
261,380000.0,2,1.0,700,4836,1.0,700,47.7139,-122.288,1190,7050,5536,700.0,88
262,311000.0,3,1.0,1120,8631,1.0,1120,47.7077,-122.314,1350,7714,9751,1120.0,72
263,518500.0,4,3.0,2120,5520,1.5,1420,47.7085,-122.286,2020,8700,7640,2120.0,29
264,526000.0,4,1.75,2220,6350,1.0,1110,47.7136,-122.29,1950,8100,8570,2220.0,55
265,482500.0,4,3.0,1630,7626,1.0,1110,47.7168,-122.30799999999999,1630,8082,9256,1630.0,24
266,259950.0,2,1.0,790,8100,1.0,790,47.7159,-122.305,1420,8100,8890,790.0,67
267,485000.0,3,1.5,1870,7853,1.0,1300,47.7045,-122.281,1870,8300,9723,1870.0,52
268,426000.0,2,1.0,1630,7680,1.0,830,47.7092,-122.291,1250,7740,9310,1630.0,67
269,449000.0,4,2.0,1870,6000,1.5,1870,47.7155,-122.315,1520,7169,7870,1870.0,59
271,392500.0,4,2.0,1950,8040,1.0,1950,47.7074,-122.29,1950,8092,9990,1950.0,53
272,222000.0,2,1.0,830,6893,1.0,830,47.7234,-122.32799999999999,1470,7200,7723,830.0,65
273,317000.0,3,1.0,1160,8813,1.0,1160,47.7257,-122.329,1200,7615,9973,1160.0,62
274,290000.0,2,1.0,930,7740,1.0,930,47.7091,-122.292,1250,7740,8670,930.0,90
275,365000.0,2,1.0,1250,8100,1.0,1250,47.7294,-122.329,1710,8100,9350,1250.0,67
276,399000.0,2,1.0,1120,8661,1.0,1120,47.7034,-122.307,1470,7205,9781,1120.0,68
